Date,Region,Product,Units,Sales
2024-01-01,South,Tablet,184,130456
2024-01-02,North,Tablet,105,134925
2024-01-03,East,Laptop,49,51254
2024-01-04,East,Laptop,88,121264
2024-01-05,South,Laptop,82,119474
2024-01-06,South,Headphones,171,143469
2024-01-07,West,Headphones,75,36675
2024-01-08,West,Laptop,72,61056
2024-01-09,South,Tablet,90,61560
2024-01-10,East,Laptop,92,81144
2024-01-11,West,Phone,94,83002
2024-01-12,East,Tablet,192,267072
2024-01-13,North,Tablet,89,61588
2024-01-14,North,Headphones,159,170130
2024-01-15,East,Laptop,46,47012
2024-01-16,East,Headphones,180,55620
2024-01-17,East,Tablet,92,37812
2024-01-18,South,Headphones,53,69748
2024-01-19,South,Laptop,94,40232
2024-01-20,East,Headphones,127,83058
2024-01-21,South,Headphones,114,145692
2024-01-22,West,Laptop,168,159432
2024-01-23,South,Phone,160,222400
2024-01-24,West,Laptop,18,24246
2024-01-25,West,Tablet,197,75845
2024-01-26,East,Tablet,20,10220
2024-01-27,South,Laptop,83,123421
2024-01-28,West,Laptop,111,40515
2024-01-29,West,Laptop,73,102930
2024-01-30,West,Headphones,46,48300
2024-01-31,North,Tablet,121,138787
2024-02-01,South,Laptop,35,23415
2024-02-02,West,Headphones,63,58086
2024-02-03,West,Headphones,139,202106
2024-02-04,East,Phone,72,52056
2024-02-05,North,Laptop,129,97266
2024-02-06,West,Headphones,166,67894
2024-02-07,North,Tablet,103,96820
2024-02-08,West,Tablet,188,90804
2024-02-09,West,Laptop,110,44440
2024-02-10,North,Phone,100,43900
2024-02-11,South,Tablet,199,121788
2024-02-12,South,Phone,62,17298
2024-02-13,South,Headphones,161,85974
2024-02-14,North,Phone,12,7404
2024-02-15,East,Headphones,95,126065
2024-02-16,West,Tablet,42,38178
2024-02-17,West,Phone,184,189704
2024-02-18,North,Laptop,61,23302
2024-02-19,North,Laptop,70,24010
2024-02-20,West,Laptop,84,23856
2024-02-21,West,Phone,40,21080
2024-02-22,South,Tablet,171,75753
2024-02-23,West,Tablet,34,22916
2024-02-24,West,Headphones,76,49704
2024-02-25,East,Phone,78,92040
2024-02-26,East,Laptop,103,26574
2024-02-27,East,Laptop,88,61160
2024-02-28,East,Tablet,40,29560
2024-02-29,West,Tablet,123,184254
2024-03-01,South,Laptop,107,63879
2024-03-02,West,Phone,27,13554
2024-03-03,South,Phone,95,29070
2024-03-04,West,Tablet,102,119952
2024-03-05,North,Headphones,87,125193
2024-03-06,South,Phone,118,80122
2024-03-07,North,Phone,191,48896
2024-03-08,East,Laptop,185,163910
2024-03-09,West,Headphones,37,9694
2024-03-10,North,Headphones,73,45406
2024-03-11,East,Phone,32,29600
2024-03-12,North,Tablet,45,26370
2024-03-13,East,Headphones,15,8775
2024-03-14,East,Headphones,197,68162
2024-03-15,South,Headphones,107,120589
2024-03-16,North,Laptop,117,127413
2024-03-17,North,Headphones,56,27048
2024-03-18,North,Laptop,35,10955
2024-03-19,South,Tablet,54,79488
2024-03-20,North,Headphones,190,76570
2024-03-21,North,Headphones,69,52095
2024-03-22,South,Phone,139,170831
2024-03-23,South,Phone,30,43740
2024-03-24,North,Laptop,85,116875
2024-03-25,West,Laptop,171,124830
2024-03-26,South,Phone,191,62648
2024-03-27,South,Tablet,174,58986
2024-03-28,West,Laptop,122,130906
2024-03-29,South,Phone,78,23946
2024-03-30,West,Laptop,79,83819
2024-03-31,East,Tablet,112,106960
2024-04-01,South,Phone,134,81204
2024-04-02,South,Laptop,72,42336
2024-04-03,East,Laptop,198,254232
2024-04-04,North,Headphones,21,22890
2024-04-05,South,Tablet,150,142350
2024-04-06,North,Tablet,74,97384
2024-04-07,West,Phone,97,78376
2024-04-08,West,Laptop,146,125706
2024-04-09,East,Tablet,21,13902
